Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2020-01-02,72.40049743652344,94.90049743652344,67.87303161621094,152.15838623046875,28.68400001525879
2020-01-03,71.69666290283203,93.74849700927734,67.51795959472656,150.26377868652344,29.534000396728516
2020-01-06,72.2679443359375,95.14399719238281,69.31758117675781,150.65219116210938,30.1026668548584
2020-01-07,71.92804718017578,95.34300231933594,69.18370819091797,149.278564453125,31.270666122436523
2020-01-08,73.08511352539062,94.59850311279297,69.6761245727539,151.65631103515625,32.80933380126953
2020-01-09,74.63751220703125,95.05249786376953,70.40758514404297,153.55096435546875,32.089332580566406
2020-01-10,74.80624389648438,94.15799713134766,70.8623275756836,152.84046936035156,31.876667022705078
2020-01-13,76.40441131591797,94.56500244140625,71.41129302978516,154.67825317382812,34.990665435791016
2020-01-14,75.37271118164062,93.47200012207031,70.94315338134766,153.58883666992188,35.861331939697266
2020-01-15,75.04969024658203,93.10099792480469,71.37012481689453,154.58352661132812,34.56666564941406
2020-01-16,75.98981475830078,93.89700317382812,71.91365051269531,157.41603088378906,34.232666015625
2020-01-17,76.83106231689453,93.23600006103516,73.36959838867188,158.29708862304688,34.03333282470703
2020-01-21,76.31040954589844,94.5999984741211,73.50498962402344,157.7286376953125,36.47999954223633
2020-01-22,76.58280944824219,94.37300109863281,73.58531951904297,156.97076416015625,37.97066879272461
2020-01-23,76.95159912109375,94.22899627685547,73.62598419189453,157.9370574951172,38.14666748046875
2020-01-24,76.72982788085938,93.08200073242188,72.70757293701172,156.34555053710938,37.654666900634766
2020-01-27,74.47358703613281,91.41699981689453,70.99969482421875,153.73092651367188,37.201332092285156
2020-01-28,76.58038330078125,92.6624984741211,71.93048858642578,156.74342346191406,37.793331146240234
2020-01-29,78.18338775634766,92.9000015258789,72.23796081542969,159.18751525878906,38.732666015625
2020-01-30,78.07009887695312,93.53399658203125,72.116455078125,163.6777801513672,42.72066879272461
2020-01-31,74.60855865478516,100.43599700927734,71.0517578125,161.26210021972656,43.371334075927734
2020-02-03,74.40367126464844,100.20999908447266,73.5223388671875,165.1935272216797,52.0
2020-02-04,76.86001586914062,102.4834976196289,71.6780776977539,170.63111877441406,59.137332916259766
2020-02-05,77.48675537109375,101.99349975585938,71.70980834960938,170.4226837158203,48.97999954223633
2020-02-06,78.39310455322266,102.5114974975586,73.19355773925781,173.95620727539062,49.930667877197266
2020-02-07,77.32754516601562,103.96399688720703,73.3492660522461,174.20254516601562,49.871334075927734
