Return,Risk
0.18849512375360208,0.2837680492704695
0.29311449195914274,0.391863684637782
0.2062141523643454,0.2960121832186895
0.23923122851084216,0.3406598108520872
0.22084850832841843,0.2995719013154484
0.24528020778803708,0.3121053020597293
0.2519877501647676,0.36567308385929587
0.2385290615539556,0.32868324054079107
0.2197809298204938,0.31772834564708285
0.19631631497403684,0.2882005432695762
0.2465192571400035,0.3198945680154447
0.1910504333329038,0.29468450956239345
0.23269417322051447,0.3619945013783517
0.25783385619518556,0.3666034783639334
0.19580459009906967,0.2845470057545557
0.22532925209251597,0.323726476226905
0.20503045275249118,0.2804060982098486
0.20774987913470563,0.30071697524863744
0.24511924569182594,0.3272502519928415
0.23477712736128595,0.31678576609437475
0.21690726788724662,0.31710055138968096
0.232560852899931,0.3400689315758302
0.19448998643913912,0.29613122701653916
0.21514491741335517,0.2916548716218852
0.17863647311584646,0.27946539850290036
0.24966154118446665,0.35269908985868687
0.22241347660541677,0.3171090825108863
0.19313241389240327,0.28661601185398866
0.21000667022716538,0.30277696321903796
0.17070600440711334,0.27571821661889123
0.23707938065843054,0.3398697521517585
0.23703602330033538,0.3054747339730722
0.18135934641289111,0.28657213695870865
0.24035593254575321,0.31410701296851384
0.1612683897472025,0.2851606327587928
0.2559956407007622,0.3377197194293186
0.20731279474872397,0.3016198835994299
0.19836945764026892,0.27491774755341086
0.22795636752071446,0.33815711425865097
0.21235329551502946,0.29966881781057303
0.2516732848970108,0.34663557286993124
0.17756296973847344,0.31389029899456017
0.21182831852616915,0.308178073856272
0.2748222519905309,0.3443922119813632
0.2149861699644217,0.3054006364318584
0.18873989495206686,0.28922362890029435
0.21713820832519712,0.30216232758618794
0.20893661305640926,0.2955011967619627
0.2701920833418633,0.3362315781794619
0.19609331473663735,0.2754683505396041
0.22459479848633698,0.29908408510250134
0.26277720092531515,0.34401918980249885
0.219483141288106,0.29570498178024235
0.23608101109274005,0.3430930834224349
0.20319289869839607,0.29150243117439517
0.22963175896655752,0.33027152612188054
0.19290775490242795,0.2842004795091243
0.2543758879971982,0.33791076948528315
0.2115819285831752,0.3048119160661115
0.2267126759616511,0.2992444337061102
0.1858720538467974,0.28925536938377244
0.22074145758849248,0.3169111840577041
0.26019255267555325,0.35469102155567256
0.25653328050836866,0.3318295114946002
0.27296912866461215,0.3639516311597098
0.24576397816630752,0.32941559570836454
0.2677179489131045,0.35555818665992645
0.22929474030050104,0.3224049095822009
0.265305945101308,0.36466329337698244
0.19460858245335702,0.2896848436982602
0.1855138776152818,0.2826331745341811
0.23035050852950828,0.31458942832441533
0.21300726650067894,0.29112267492427124
0.1897122423469034,0.28304799849447543
0.2252045085102205,0.3137427149646247
0.18874037739389588,0.2824289489739544
0.2183891878218038,0.3102559741615544
0.20915973955360187,0.2932046752604195
0.20526163053771637,0.30696881049247526
0.21658946322977785,0.313563114982363
0.24501469321046276,0.3427698500719665
0.17530554164575796,0.2747774190744476
0.21964961688381118,0.30679763184778974
0.1989430298792193,0.2787496717956784
0.1825384080658487,0.2881641225232003
0.2445953529655531,0.3588010081269127
0.22438893529539716,0.30881502274877887
0.20146530546383135,0.2905236789308419
0.19005858847059226,0.2756362489546725
0.2872047594357656,0.3724535758883492
0.20900384983132334,0.30452435650682597
0.17644927503920949,0.2760291042639068
0.2503719265118074,0.33368124257035414
0.20060859067822107,0.27690962798695984
0.23200425477216782,0.309820570974868
0.23666993807490802,0.3393372900924626
0.2114277508586437,0.2812758897353959
0.22902485239946221,0.33084027207685074
0.2071524711909089,0.2913979653987448
0.238485361329377,0.30159130188876915
0.21637967340042646,0.304259705038478
0.16917633292474618,0.2877919125570148
0.274877729819905,0.38502285516464496
0.2151404921184571,0.29902666181303245
0.19370655196325362,0.2922059083392028
0.23419624828903518,0.3437683443802877
0.21110175609890638,0.2928472883126701
0.23756873545454402,0.31231024733306245
0.20689797263864132,0.2925730658827024
0.2474804220375871,0.34936972124979143
0.20965747081616215,0.30500975272884756
0.2166769137487439,0.31142195296709735
0.202466494580671,0.2813984363843248
0.28503601230750975,0.3817891880121854
0.24701315318828634,0.3377445437835464
0.25544194848909785,0.3742584199306912
0.21977829281037284,0.3301581298353839
0.2195306645785153,0.2963364158816397
0.24275941323036487,0.3498518580187359
0.21460236256419718,0.33272318923279565
0.22670596218804895,0.3249105745381993
0.25085511028735075,0.34635424601262316
0.26039412580521454,0.36017750172552315
0.19833781655818314,0.30084477764587125
0.212584157404282,0.29736228729969516
0.22147570490915608,0.32398773955698434
0.23531562988469182,0.32033035513195973
0.2044633605115438,0.2976615244745359
0.25157335904412403,0.32852817640827314
0.17506374258451554,0.29958808752669736
0.20793834105634998,0.30521016432676623
0.24934871048673862,0.3127481565125136
0.2196988113792586,0.3424167870438769
0.27131569829586744,0.36877939858018655
0.16501380785634265,0.28165096466383466
0.230796500991668,0.30773706715522325
0.22663763027801653,0.3272461096205004
0.2266515137753967,0.3176069726228536
0.19977135794859952,0.2962262161297415
0.2438359694050761,0.33953445413768246
0.24016500613192393,0.3279191144730436
0.18199532185866144,0.30383606686177556
0.26175000602440107,0.3775015383538972
0.1804815775162896,0.28594137152326693
0.25853765165440246,0.3466550800403088
0.21060559618455482,0.30984875439482
0.2507794707686836,0.3384488768668977
0.24699815893089816,0.32522503364147065
0.2827047481562357,0.36861134979057525
0.2384326378128556,0.3462836418461805
0.24259620312011693,0.3216032231886289
0.2271508980726789,0.33855706450654993
0.23673159831475932,0.32376353182196443
0.21976622904241128,0.3179319659463952
0.23946971826105704,0.33418849110817317
0.24729919619916235,0.3476996839925699
0.21341986463251708,0.323711679745819
0.2641873753814038,0.37173994284474654
0.23588271184098963,0.33668610682421374
0.24699607855363254,0.3399194223340761
0.21916869228455263,0.2935659286286961
0.2507687419469084,0.3305445194449634
0.21799111230616988,0.32766725322932766
0.26824801234874635,0.3390284897949507
0.27093387644297673,0.3886729819392389
0.2606643425624563,0.38396600239658657
0.19195873955729334,0.29470662584441415
0.2608840320715369,0.3555741941396605
0.2152281024308069,0.28780980631824765
0.18615387875519038,0.281308597403475
0.21652778488204852,0.29075856755894075
0.1769572947705613,0.2842574381984845
0.23329053993690835,0.33615690615942395
0.22473472280025075,0.3097640312229656
0.21784268579373475,0.311765598885974
0.1804533319112155,0.28262126355778744
0.19187494309991215,0.2893124176400908
0.2118266769597262,0.29927912826589587
0.23548726741435683,0.30703179213307197
0.2534711621898348,0.34201656920650125
0.24276313215500434,0.33926895450746397
0.20603335672323608,0.32094512123222635
0.2528412721448689,0.3564469253094466
0.18128859033095976,0.27906903623405305
0.23962285240065698,0.35439290446348376
0.2540593188650084,0.36516363812035757
0.19706212800885914,0.2947371786462692
0.2782815090807872,0.3631390148093619
