Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2020-01-02,72.40052032470703,94.90049743652344,67.87303161621094,152.15841674804688,28.68400001525879
2020-01-03,71.6966552734375,93.74849700927734,67.51795959472656,150.26377868652344,29.534000396728516
2020-01-06,72.26791381835938,95.14399719238281,69.31758880615234,150.65216064453125,30.1026668548584
2020-01-07,71.92803192138672,95.34300231933594,69.1836929321289,149.27850341796875,31.270666122436523
2020-01-08,73.0851058959961,94.59850311279297,69.6761245727539,151.65628051757812,32.80933380126953
2020-01-09,74.63748168945312,95.05249786376953,70.4075698852539,153.5509490966797,32.089332580566406
2020-01-10,74.8062515258789,94.15799713134766,70.86231994628906,152.8404541015625,31.876667022705078
2020-01-13,76.40444946289062,94.56500244140625,71.41129302978516,154.67831420898438,34.990665435791016
2020-01-14,75.37271881103516,93.47200012207031,70.94316101074219,153.5888214111328,35.861331939697266
2020-01-15,75.04969787597656,93.10099792480469,71.37013244628906,154.58351135253906,34.56666564941406
2020-01-16,75.98979949951172,93.89700317382812,71.91363525390625,157.41600036621094,34.232666015625
2020-01-17,76.83110046386719,93.23600006103516,73.3696060180664,158.2970428466797,34.03333282470703
2020-01-21,76.31040954589844,94.5999984741211,73.50498962402344,157.72860717773438,36.47999954223633
2020-01-22,76.58280944824219,94.37300109863281,73.58531951904297,156.97076416015625,37.97066879272461
2020-01-23,76.95160675048828,94.22899627685547,73.6259765625,157.93707275390625,38.14666748046875
2020-01-24,76.72982788085938,93.08200073242188,72.70756530761719,156.3455352783203,37.654666900634766
2020-01-27,74.47357940673828,91.41699981689453,70.99967956542969,153.73092651367188,37.201332092285156
2020-01-28,76.58039093017578,92.6624984741211,71.93048858642578,156.74343872070312,37.793331146240234
2020-01-29,78.18341064453125,92.9000015258789,72.23795318603516,159.18746948242188,38.732666015625
2020-01-30,78.07012176513672,93.53399658203125,72.116455078125,163.67782592773438,42.72066879272461
2020-01-31,74.60856628417969,100.43599700927734,71.0517578125,161.2621307373047,43.371334075927734
2020-02-03,74.40365600585938,100.20999908447266,73.52235412597656,165.19351196289062,52.0
2020-02-04,76.8600082397461,102.4834976196289,71.6780776977539,170.63108825683594,59.137332916259766
2020-02-05,77.48674011230469,101.99349975585938,71.7098159790039,170.4226837158203,48.97999954223633
2020-02-06,78.39311218261719,102.5114974975586,73.19355773925781,173.95619201660156,49.930667877197266
2020-02-07,77.32754516601562,103.96399688720703,73.34927368164062,174.20249938964844,49.871334075927734
2020-02-10,77.69482421875,106.69550323486328,74.81465911865234,178.75912475585938,51.41866683959961
2020-02-11,77.22607421875,107.54000091552734,74.88408660888672,174.72354125976562,51.62533187866211
2020-02-12,79.06000518798828,108.0,75.30907440185547,174.97933959960938,51.15266799926758
2020-02-13,78.49700927734375,107.49349975585938,75.04920959472656,174.03201293945312,53.599998474121094
2020-02-14,78.51634216308594,106.74349975585938,75.31402587890625,175.58558654785156,53.33533477783203
2020-02-18,77.07866668701172,107.78350067138672,75.34923553466797,177.36654663085938,57.22666549682617
2020-02-19,78.19498443603516,108.51100158691406,75.61852264404297,177.8984832763672,61.16133117675781
2020-02-20,77.39276885986328,107.65499877929688,75.22773742675781,175.18174743652344,59.96066665649414
2020-02-21,75.64098358154297,104.79850006103516,73.56497955322266,169.643798828125,60.06666564941406
2020-02-24,72.04801177978516,100.4645004272461,70.41106414794922,162.3295135498047,55.58599853515625
2020-02-25,69.60758972167969,98.63700103759766,68.747802734375,159.65078735351562,53.32733154296875
2020-02-26,70.71183776855469,98.97949981689453,68.95359802246094,161.6456298828125,51.91999816894531
2020-02-27,66.08952331542969,94.21499633789062,65.20854949951172,150.25621032714844,45.266666412353516
2020-02-28,66.05084991455078,94.1875,66.41358947753906,153.8943634033203,44.53266525268555
2020-03-02,72.20022583007812,97.69750213623047,68.747802734375,164.13438415527344,49.574668884277344
2020-03-03,69.90721893310547,95.44950103759766,66.33772277832031,156.26914978027344,49.70066833496094
2020-03-04,73.14982604980469,98.79149627685547,68.51372528076172,162.00656127929688,49.96666717529297
2020-03-05,70.7770767211914,96.20149993896484,65.19912719726562,157.94097900390625,48.30266571044922
2020-03-06,69.83715057373047,95.05449676513672,64.25592803955078,153.47637939453125,46.89866638183594
2020-03-09,64.31356811523438,90.03050231933594,60.291194915771484,143.0749053955078,40.53333282470703
2020-03-10,68.94552612304688,94.59100341796875,63.23585510253906,152.85894775390625,43.02199935913086
2020-03-11,66.55103302001953,91.04299926757812,60.04869842529297,145.9341583251953,42.28200149536133
2020-03-12,59.97880554199219,83.83049774169922,55.121917724609375,132.09400939941406,37.369998931884766
2020-03-13,67.16475677490234,89.25,60.2158203125,150.87367248535156,36.44133377075195
2020-03-16,58.524208068847656,84.4574966430664,53.2102165222168,128.6363525390625,29.67133331298828
2020-03-17,61.09752655029297,90.39199829101562,55.44475173950195,139.22779846191406,28.68000030517578
2020-03-18,59.601863861083984,91.5,54.11226272583008,133.3668670654297,24.08133316040039
2020-03-19,59.14519500732422,94.04650115966797,55.127872467041016,135.5612030029297,28.50933265686035
2020-03-20,55.39031982421875,92.30449676513672,52.97267532348633,130.4696807861328,28.50200080871582
2020-03-23,54.21360397338867,95.1415023803711,52.27445983886719,129.16830444335938,28.952667236328125
2020-03-24,59.652610778808594,97.00499725341797,56.037357330322266,140.9091339111328,33.66666793823242
2020-03-25,59.32400131225586,94.29199981689453,54.629486083984375,139.56028747558594,35.95000076293945
2020-03-26,62.44580078125,97.77449798583984,57.66936492919922,148.2899169921875,35.21066665649414
2020-03-27,59.86040115356445,95.00499725341797,55.057945251464844,142.2010498046875,34.29066848754883
2020-03-30,61.56870651245117,98.19750213623047,56.84566879272461,152.2035369873047,33.47533416748047
2020-03-31,61.443058013916016,97.48600006103516,57.62125778198242,149.80978393554688,34.93333435058594
2020-04-01,58.2100944519043,95.38500213623047,54.653289794921875,144.4903106689453,32.104000091552734
2020-04-02,59.18143081665039,95.94149780273438,55.393672943115234,147.4824676513672,30.29800033569336
2020-04-03,58.33091354370117,95.32949829101562,54.18714141845703,146.12413024902344,32.000667572021484
2020-04-06,63.419551849365234,99.87950134277344,58.674556732177734,156.9910430908203,34.41600036621094
2020-04-07,62.68499755859375,100.58000183105469,58.643314361572266,155.30029296875,36.36333465576172
2020-04-08,64.2894058227539,102.1500015258789,59.855289459228516,156.85809326171875,36.589332580566406
2020-04-09,64.75333404541016,102.13800048828125,59.8339729309082,156.86756896972656,38.20000076293945
2020-04-13,66.02428436279297,108.44349670410156,60.024391174316406,157.2190399169922,43.39666748046875
2020-04-14,69.35872650146484,114.16600036621094,62.74293518066406,164.998779296875,47.32600021362305
2020-04-15,68.72565460205078,115.38400268554688,62.34968185424805,163.26995849609375,48.65533447265625
2020-04-16,69.271728515625,120.40950012207031,62.356117248535156,168.17147827148438,49.680667877197266
2020-04-17,68.3318099975586,118.75,63.42578125,169.65330505371094,50.259334564208984
2020-04-20,66.91346740722656,119.68049621582031,62.54060363769531,166.29066467285156,49.75733184814453
2020-04-21,64.84514617919922,116.40599822998047,60.11117935180664,159.41336059570312,45.781333923339844
2020-04-22,66.71292114257812,118.17449951171875,62.40472412109375,164.82778930664062,48.807334899902344
2020-04-23,66.45439147949219,119.97250366210938,63.03749465942383,162.83299255371094,47.04199981689453
2020-04-24,68.37289428710938,120.51100158691406,63.30677032470703,165.8062286376953,48.34333419799805
2020-04-27,68.42121124267578,118.80000305175781,63.022125244140625,165.3312530517578,53.25
2020-04-28,67.31214141845703,115.7040023803711,61.12431335449219,161.30361938476562,51.27466583251953
2020-04-29,69.52301788330078,118.635498046875,66.55889129638672,168.54190063476562,53.367332458496094
2020-04-30,70.98968505859375,123.69999694824219,66.78304290771484,170.23280334472656,52.12533187866211
2020-05-01,69.84680938720703,114.302001953125,65.32608795166016,165.8251953125,46.75466537475586
