Date,AAPL,AMZN,BAC,CVX,GOOGL,JNJ,JPM,MSFT,PFE,XOM
2023-01-03,123.09602355957031,85.81999969482422,30.800153732299805,151.90130615234375,88.38946533203125,161.7957763671875,124.92871856689453,233.45278930664062,42.38249588012695,95.4342041015625
2023-01-04,124.36566925048828,85.13999938964844,31.37920570373535,150.2861785888672,87.35798645019531,163.5572509765625,126.09363555908203,223.2408447265625,41.44820022583008,95.71196746826172
2023-01-05,123.04681396484375,83.12000274658203,31.31485939025879,152.99258422851562,85.49339294433594,162.34962463378906,126.06571960449219,216.62449645996094,41.059593200683594,97.85343170166016
2023-01-06,127.57422637939453,86.08000183105469,31.627365112304688,154.14500427246094,86.6240463256836,163.66622924804688,128.47804260253906,219.17745971679688,42.101375579833984,99.03616333007812
2023-01-09,128.09585571289062,87.36000061035156,31.14942169189453,152.94020080566406,87.29846954345703,159.4259033203125,127.94715118408203,221.31146240234375,40.009544372558594,97.19037628173828
2023-01-10,128.6666717529297,89.87000274658203,31.36081886291504,153.69102478027344,87.6952133178711,159.0445098876953,129.09278869628906,222.99722290039062,39.372894287109375,98.64192962646484
2023-01-11,131.3831024169922,95.08999633789062,31.59979248046875,152.9576416015625,90.7697982788086,158.79031372070312,130.05215454101562,229.74024963378906,39.232337951660156,99.78882598876953
2023-01-12,131.30438232421875,95.2699966430664,31.682519912719727,154.59902954101562,90.38298797607422,157.99124145507812,129.92173767089844,232.41017150878906,39.44730758666992,101.4464340209961
2023-01-13,132.63307189941406,98.12000274658203,32.381065368652344,155.01808166503906,91.3648681640625,157.4736785888672,133.20028686523438,233.1117706298828,39.56306457519531,101.38372039794922
2023-01-17,133.79446411132812,96.05000305175781,31.728477478027344,157.57611083984375,90.54166412353516,156.50213623046875,131.14186096191406,234.20309448242188,38.099605560302734,101.18659210205078
2023-01-18,133.07595825195312,95.45999908447266,30.9931697845459,154.7299346923828,90.37307739257812,154.14137268066406,127.20207214355469,229.7792205810547,37.206642150878906,99.10783386230469
