Date,AAPL,AMZN,BAC,CVX,GOOGL,JNJ,JPM,MSFT,PFE,XOM
2023-02-15,0.23060370319624476,0.4708242439730226,0.18969047863734967,0.28279403348734206,0.4737028987287279,0.16515402119944905,0.18261697829566237,0.3435631450961067,0.23882108142921976,0.27768366360864516
2023-02-16,0.2360420936827522,0.4806565599657792,0.18498551164106186,0.2841964935649568,0.474621565493283,0.15950984495698717,0.18721434359702482,0.32505053199046857,0.23359582884901675,0.2782381195967674
2023-02-17,0.23424584660846193,0.474980837445147,0.18475841384421035,0.28529730259820774,0.47122596278010204,0.17479940007052683,0.1871797977779451,0.314228231355618,0.23525616651097206,0.2975754744859935
2023-02-21,0.23677785700828005,0.4753728724111603,0.19640593268428197,0.2850054918305584,0.4783073620928577,0.17445496058570023,0.1885889100569371,0.32247355553160684,0.21895010222101835,0.2957288940766761
2023-02-22,0.23682466644088188,0.4749746672846334,0.1921247316827331,0.2846311569676373,0.4780353305048911,0.16148905353935147,0.18961128529266896,0.3229267645129525,0.1718031926256148,0.29292041483359127
2023-02-23,0.23685253849969837,0.4689316270043509,0.19119640699963458,0.28611435041817945,0.47874297171669905,0.16170512662334488,0.1892607671392679,0.32387366968364784,0.16812432973996094,0.2909911167015736
2023-02-24,0.2403917120282223,0.4455617580338596,0.1899252132764031,0.28645528327777403,0.47139788329188886,0.16324627242645667,0.18983245746810432,0.32236012705201533,0.17033635248013113,0.2890789781296481
2023-02-27,0.24053876293285212,0.44561152944724636,0.18974376733381632,0.2842290892949498,0.472015065296818,0.1632332304023306,0.19132311565652052,0.32112795892779633,0.17697257719377368,0.2848890583985087
2023-02-28,0.24051910177271124,0.43684872168139377,0.17815442435020723,0.285271044868632,0.47088265637433513,0.16681140007139483,0.17864441570422537,0.3213781472413613,0.17539767462728084,0.28529794374498096
2023-03-01,0.24503704533073098,0.4371650353249293,0.16881631135266406,0.281309847977502,0.47035361110393453,0.1666806881420905,0.17330805176939448,0.32381438099519516,0.14674470762598824,0.2866128324449404
2023-03-02,0.24400231026840657,0.43693513474050394,0.1586544647330447,0.2782569829912479,0.4733046537465638,0.16333584234201176,0.15045587639928026,0.32242555613899593,0.1410449660840793,0.2802760492228863
2023-03-03,0.26077518418313933,0.4424655599314606,0.1624277992128015,0.2804298084245354,0.47218683328856337,0.1679600138798375,0.15187491341169992,0.3199437109170218,0.14845880204065276,0.2819744509455347
2023-03-06,0.2604410434325681,0.4296183154406536,0.15405514787035177,0.2792776483108376,0.4486886217433053,0.17196252488186162,0.1536265235166556,0.3055908539746674,0.14747367237910183,0.2782734347007604
2023-03-07,0.2588692413396087,0.4294572631897911,0.1760664442987228,0.28087066126760174,0.44640818674471683,0.17316360880121517,0.17310956533272331,0.30698795428456316,0.1546976364428975,0.2838100325033108
2023-03-08,0.2584896121388319,0.4284305271497455,0.1777385189096924,0.2807944727342096,0.4430003467256781,0.1734787546882303,0.172213472524019,0.3069408797258491,0.15462227427843112,0.2854469734952067
2023-03-09,0.26264608764930997,0.4301888636949034,0.25061353134693076,0.2823980543238433,0.440819561748239,0.17241160781584378,0.23483707647776528,0.30684274154835556,0.15540534752077334,0.28586792940454203
2023-03-10,0.2637859376508484,0.42682331735511747,0.24528364938280936,0.23771288867760945,0.4371039909226702,0.17328680077751069,0.24676734607022002,0.2980696119103961,0.15478076649422848,0.2606213122023345
2023-03-13,0.26361862069075925,0.4203939423502631,0.29102263742537793,0.20479910383747213,0.4331363325671111,0.1772410558526265,0.25104414756470744,0.30425639653902964,0.15996965803978874,0.25776778157744845
2023-03-14,0.25815135106597165,0.4268907222324049,0.2945166855019161,0.19493017029998164,0.4387287948777599,0.14478257443700884,0.2625962587367892,0.3050678087290495,0.16024470045666625,0.25412048919503794
2023-03-15,0.25735968618453947,0.4217714002863306,0.2925035920241394,0.2295196452537799,0.44007775904813623,0.1421488363262116,0.2951435686874568,0.3035695287868419,0.1566759957285165,0.282011378812979
2023-03-16,0.26129136371061035,0.4343002834359856,0.2952949675792151,0.227685064217574,0.4556903240720575,0.13841052773093,0.3020416294012899,0.31866728313468484,0.15736998551196496,0.2813167184329825
2023-03-17,0.24131312507846522,0.3758694159747886,0.3081244903689183,0.2272653785025724,0.4064577639181292,0.13952613615408233,0.3198671860388609,0.2931712536086023,0.15405754315860506,0.2698974184434633
2023-03-20,0.235282238546911,0.28171024658948396,0.3045896930335139,0.23251042125657298,0.39905371324661826,0.14368802241411355,0.31771338574540753,0.29491854801155404,0.16518841686936267,0.2814339322863804
2023-03-21,0.23049779141972512,0.29401555460500856,0.32409248161236026,0.2511898235360311,0.4096736511584875,0.14279438348270207,0.32840479428910413,0.2941332904842267,0.16473116926191259,0.3120913100879613
2023-03-22,0.22646525538519216,0.29894583973535455,0.327522020533587,0.2426121265152485,0.3895749176353703,0.15075494284425375,0.3320269580410328,0.2705916234608428,0.16940463736789205,0.30555586679043056
2023-03-23,0.22013178250432058,0.29332712763392044,0.33041086959085336,0.23571730738764352,0.31559055011611853,0.1506112812478897,0.3319260539257046,0.27575214995703995,0.16711297244657952,0.30608287766038667
2023-03-24,0.21944627351068924,0.2889612097020435,0.33168956477913003,0.23776767988819844,0.28293508565933195,0.15090532619316271,0.331818857307891,0.27404171450905135,0.16498943188703782,0.30567707845640035
2023-03-27,0.22338601784433124,0.28834181162528133,0.3711036819492582,0.23073996345222156,0.2971364839046354,0.15077001500889972,0.343985693920872,0.2783409510455031,0.159015601882037,0.28558862514268946
2023-03-28,0.2179238891696308,0.28326731936799693,0.3704378007504212,0.2341616316307279,0.30102569368476684,0.1516543164233198,0.3419913230616139,0.26475245250745477,0.15837283691098372,0.28937682655207525
2023-03-29,0.22398886302510904,0.29739378182522175,0.378236192965076,0.2345070811123707,0.3010186025128413,0.15528874887025618,0.341588591157236,0.27003517445310027,0.16052777666507442,0.2939367019128346
2023-03-30,0.22240101152416725,0.29866023329656244,0.37826982520087,0.2353251409087382,0.2947627027794943,0.14872606455761003,0.34082824338062945,0.2705810567733133,0.16023613057068686,0.29463259817839227
2023-03-31,0.22302070752590664,0.2861937140740376,0.3818171892750337,0.23253664606756502,0.3002502864378151,0.15100413418802403,0.34237216620611505,0.2588555575417699,0.1631974302270041,0.2947885836741959
2023-04-03,0.2215016410033845,0.28580755326598895,0.381411748616617,0.25235437857270654,0.2969856700254924,0.1422125081708744,0.34197639256549567,0.2535242615500541,0.16756532591037687,0.3200155853551836
2023-04-04,0.2036125919120514,0.2744790300216999,0.38061972509178776,0.25027694880481655,0.28221040895490695,0.13909489402399844,0.34028548286511184,0.24285294650379358,0.16708427283886812,0.32155003533849985
2023-04-05,0.2082043566121811,0.2870395829361542,0.38094557888066777,0.24986448844303832,0.28237888820108,0.188240156246383,0.3401764746965295,0.24502961737852974,0.1732332212035521,0.3218234694335074
2023-04-06,0.2083122599914847,0.2878493007681456,0.3827859919767721,0.2524489515133647,0.2950585084604728,0.18859511862500103,0.3387647675235077,0.25139888445361835,0.1732022976100718,0.3256334589376699
